Breed,Age,Height,Weight,Character Traits,Health_Problems
Miniature Schnauzer,15,14,12.3,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
West Highland White Terrier,16,12,15.4,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Golden Retriever,14,22.5,40.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Borzoi,12,27.5,36.5,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Belgian Malinois,14,24,27.5,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Pomeranian,16,7,29.3,"Playful, energetic, intelligent, good-natured","Dental problems, eye problems, obesity"
Great Dane,10,31,21,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Beagle,15,14,21.4,"Curious, friendly, energetic, good-natured","Ear infections, hip dysplasia, epilepsy"
Border Terrier,16,16,24.1,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Cocker Spaniel,15,14.5,12.8,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Cattle Dog,16,18.5,29.9,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Kuvasz,12,27,31.5,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Irish Terrier,14,15,6.9,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Cocker Spaniel,15,14.5,27.3,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Xoloitzcuintli,15,14,6.4,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Basenji,15,16.5,38.2,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Australian Shepherd,15,20.5,1.6,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Field Spaniel,14,16.5,31.1,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Pointer,15,24,18.9,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Australian Terrier,15,11,12.4,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Pekingese,15,9,19.1,"Independent, intelligent, affectionate, good-natured","Dental problems, respiratory issues, eye problems"
Gordon Setter,15,25,23.1,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Standard Schnauzer,15,19,25.8,"Intelligent, energetic, playful, good-natured","Dental problems, pancreatitis, diabetes"
Harrier,14,19.5,20.5,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
